"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"369","ACH-000368","SNU1105","central_nervous_system","SNU1105_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"370","ACH-000369","MOLM16","haematopoietic_and_lymphoid_tissue","MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"371","ACH-000370","SNU626","central_nervous_system","SNU626_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"372","ACH-000371","RL","haematopoietic_and_lymphoid_tissue","RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"373","ACH-000372","P12ICHIKAWA","haematopoietic_and_lymphoid_tissue","P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"374","ACH-000373","SKM1","haematopoietic_and_lymphoid_tissue","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"375","ACH-000374","HCC1143","breast","HCC1143_BREAST","breast","BRCA","DOID:1612"
"376","ACH-000375","G402","soft_tissue","G402_SOFT_TISSUE","rhabdoid","SARC","DOID:162"
"377","ACH-000376","SF295","central_nervous_system","SF295_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"378","ACH-000377","SNU478","biliary_tract","SNU478_BILIARY_TRACT","bile_duct","CHOL","DOID:162"
"379","ACH-000378","NCIH647","lung","NCIH647_LUNG","lung","LUAD","DOID:1324"
"380","ACH-000379","NCIH1781","lung","NCIH1781_LUNG","lung","LUAD","DOID:1324"
"381","ACH-000380","KMS12BM","haematopoietic_and_lymphoid_tissue","KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"382","ACH-000381","T84","large_intestine","T84_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"383","ACH-000382","CORL24","lung","CORL24_LUNG","lung","SCLC","DOID:1324"
"384","ACH-000383","OE33","oesophagus","OE33_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"385","ACH-000384","SW780","urinary_tract","SW780_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"386","ACH-000385","SKRC20","kidney","SKRC20_KIDNEY","kidney","KIRC","DOID:263"
"387","ACH-000386","KG1","haematopoietic_and_lymphoid_tissue","KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
